index,x_m,y_m,theta_rad,left_deg,right_deg
73,0.31417836183204073,0.0020343098844780617,0.006105568761393468,559.0,560.0
74,0.31878594517529524,0.0020624421509762834,0.006105568761393468,567.0,568.0
75,0.3228175806006429,0.002087057884162227,0.006105568761393673,574.0,575.0
76,0.32713718998494395,0.0021134318840043105,0.008140758348524742,581.0,583.0
77,0.33145673674729154,0.0021485970471964377,0.00610556876139367,589.0,590.0
78,0.33577634613159263,0.002174971047038521,0.008140758348524946,596.0,598.0
79,0.34009589289394015,0.002210136210230649,0.006105568761393669,604.0,605.0
80,0.34441550227824125,0.002236510210072733,0.008140758348524742,611.0,613.0
81,0.3487350490405888,0.0022716753732648595,0.0061055687613936725,619.0,620.0
82,0.35305465842488987,0.0022980493731069433,0.008140758348524745,626.0,628.0
